CommonName,Family,Genus,Cultivar,Description,GrowingAdvice,WeatherTolerance,OptimalZones,GrowingDays,TransplantAge,USDAZoneList,BestHarvest,BestPlantingDates,GreenhouseInstructions,SoilInfo,Pests,Amendments,SoilConditions,Approved CommonName
Hopi Red Dye (Amaranth),Amaranthaceae,Amaranthus,Hopi Red Dye,Leaf/grain amaranth cultivar used for greens or seed.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9,10",84-140,,"[3, 4, 5, 6, 7, 8, 9, 10]","{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}",Start 2–4 weeks early for transplants if season is short; harden off before planting.,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.","Flea beetles, aphids; birds on seedheads.",Compost at bed prep; side‑dress nitrogen lightly midseason.,Drain Water,
Love Lies Bleeding (Amaranth),Amaranthaceae,Amaranthus,Love Lies Bleeding,Leaf/grain amaranth cultivar used for greens or seed.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9,10",84-140,,"[3, 4, 5, 6, 7, 8, 9, 10]","{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}",Start 2–4 weeks early for transplants if season is short; harden off before planting.,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.","Flea beetles, aphids; birds on seedheads.",Compost at bed prep; side‑dress nitrogen lightly midseason.,Drain Water,
Miriah Leaf (Amaranth),Amaranthaceae,Amaranthus,Miriah Leaf,Leaf/grain amaranth cultivar used for greens or seed.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9,10",84-140,,"[3, 4, 5, 6, 7, 8, 9, 10]","{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}",Start 2–4 weeks early for transplants if season is short; harden off before planting.,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.","Flea beetles, aphids; birds on seedheads.",Compost at bed prep; side‑dress nitrogen lightly midseason.,Drain Water,
Molten Fire (Amaranth),Amaranthaceae,Amaranthus,Molten Fire,Leaf/grain amaranth cultivar used for greens or seed.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9,10",84-140,,"[3, 4, 5, 6, 7, 8, 9, 10]","{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}",Start 2–4 weeks early for transplants if season is short; harden off before planting.,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.","Flea beetles, aphids; birds on seedheads.",Compost at bed prep; side‑dress nitrogen lightly midseason.,Drain Water,
Montana Popping (Amaranth),Amaranthaceae,Amaranthus,Montana Popping,Leaf/grain amaranth cultivar used for greens or seed.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9,10",84-140,,"[3, 4, 5, 6, 7, 8, 9, 10]","{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}",Start 2–4 weeks early for transplants if season is short; harden off before planting.,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.","Flea beetles, aphids; birds on seedheads.",Compost at bed prep; side‑dress nitrogen lightly midseason.,Drain Water,
Opopeo Amaranth,Amaranthaceae,Amaranthus,Opopeo Amaranth,Leaf/grain amaranth cultivar used for greens or seed.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9,10",84-140,,"[3, 4, 5, 6, 7, 8, 9, 10]","{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}",Start 2–4 weeks early for transplants if season is short; harden off before planting.,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.","Flea beetles, aphids; birds on seedheads.",Compost at bed prep; side‑dress nitrogen lightly midseason.,Drain Water,
Polish (Amaranth),Amaranthaceae,Amaranthus,Polish,Leaf/grain amaranth cultivar used for greens or seed.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9,10",84-140,,"[3, 4, 5, 6, 7, 8, 9, 10]","{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}",Start 2–4 weeks early for transplants if season is short; harden off before planting.,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.","Flea beetles, aphids; birds on seedheads.",Compost at bed prep; side‑dress nitrogen lightly midseason.,Drain Water,
Red Beauty (Amaranth),Amaranthaceae,Amaranthus,Red Beauty,Leaf/grain amaranth cultivar used for greens or seed.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9,10",84-140,,"[3, 4, 5, 6, 7, 8, 9, 10]","{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}",Start 2–4 weeks early for transplants if season is short; harden off before planting.,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.","Flea beetles, aphids; birds on seedheads.",Compost at bed prep; side‑dress nitrogen lightly midseason.,Drain Water,
Red Garnet (Amaranth),Amaranthaceae,Amaranthus,Red Garnet,Leaf/grain amaranth cultivar used for greens or seed.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9,10",84-140,,"[3, 4, 5, 6, 7, 8, 9, 10]","{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}",Start 2–4 weeks early for transplants if season is short; harden off before planting.,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.","Flea beetles, aphids; birds on seedheads.",Compost at bed prep; side‑dress nitrogen lightly midseason.,Drain Water,
Red Leaf (Amaranth),Amaranthaceae,Amaranthus,Red Leaf,Leaf/grain amaranth cultivar used for greens or seed.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9,10",84-140,,"[3, 4, 5, 6, 7, 8, 9, 10]","{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}",Start 2–4 weeks early for transplants if season is short; harden off before planting.,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.","Flea beetles, aphids; birds on seedheads.",Compost at bed prep; side‑dress nitrogen lightly midseason.,Drain Water,
Red Leaf Amaranth,Amaranthaceae,Amaranthus,Red Leaf Amaranth,Leaf/grain amaranth cultivar used for greens or seed.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9,10",84-140,,"[3, 4, 5, 6, 7, 8, 9, 10]","{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}",Start 2–4 weeks early for transplants if season is short; harden off before planting.,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.","Flea beetles, aphids; birds on seedheads.",Compost at bed prep; side‑dress nitrogen lightly midseason.,Drain Water,
Red Spike (Amaranth),Amaranthaceae,Amaranthus,Red Spike,Leaf/grain amaranth cultivar used for greens or seed.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9,10",84-140,,"[3, 4, 5, 6, 7, 8, 9, 10]","{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}",Start 2–4 weeks early for transplants if season is short; harden off before planting.,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.","Flea beetles, aphids; birds on seedheads.",Compost at bed prep; side‑dress nitrogen lightly midseason.,Drain Water,
Rodale Red Leaf Grain (Amaranth),Amaranthaceae,Amaranthus,Rodale Red Leaf Grain,Leaf/grain amaranth cultivar used for greens or seed.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9,10",84-140,,"[3, 4, 5, 6, 7, 8, 9, 10]","{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}",Start 2–4 weeks early for transplants if season is short; harden off before planting.,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.","Flea beetles, aphids; birds on seedheads.",Compost at bed prep; side‑dress nitrogen lightly midseason.,Drain Water,
Virdis Amaranth,Amaranthaceae,Amaranthus,Virdis Amaranth,Leaf/grain amaranth cultivar used for greens or seed.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9,10",84-140,,"[3, 4, 5, 6, 7, 8, 9, 10]","{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}",Start 2–4 weeks early for transplants if season is short; harden off before planting.,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.","Flea beetles, aphids; birds on seedheads.",Compost at bed prep; side‑dress nitrogen lightly midseason.,Drain Water,
White Leaf (Amaranth),Amaranthaceae,Amaranthus,White Leaf,Leaf/grain amaranth cultivar used for greens or seed.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9,10",84-140,,"[3, 4, 5, 6, 7, 8, 9, 10]","{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}",Start 2–4 weeks early for transplants if season is short; harden off before planting.,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.","Flea beetles, aphids; birds on seedheads.",Compost at bed prep; side‑dress nitrogen lightly midseason.,Drain Water,
DePaoli (Asparagus),Asparagaceae,Asparagus,DePaoli,Perennial spear crop from crowns; spring harvest.,Plant crowns in early spring; do not harvest first year; full harvest from year 3.,"Cool,Wet","3,4,5,6,7,8",56-84,Crowns in early spring; seedlings 10–12 wks indoor,"[3, 4, 5, 6, 7, 8]","{""3"": [27, 28, 29, 30, 31, 32, 33, 34], ""4"": [25, 26, 27, 28, 29, 30, 31, 32], ""5"": [24, 25, 26, 27, 28, 29, 30, 31], ""6"": [22, 23, 24, 25, 26, 27, 28, 29], ""7"": [20, 21, 22, 23, 24, 25, 26, 27], ""8"": [18, 19, 20, 21, 22, 23, 24, 25]}","{""3"": [19, 20, 21, 22], ""4"": [17, 18, 19, 20], ""5"": [16, 17, 18, 19], ""6"": [14, 15, 16, 17], ""7"": [12, 13, 14, 15], ""8"": [10, 11, 12, 13]}",Start seedlings in plugs 10–12 weeks before last frost if growing from seed; transplant after frost.,Deep sandy loam; pH 6.5–7.5; high organic matter; good drainage.,"Asparagus beetle, cutworms.",Heavy compost annually; balanced organic fertilizer in spring.,Drain Water,
Early California (Asparagus),Asparagaceae,Asparagus,Early California,Perennial spear crop from crowns; spring harvest.,Plant crowns in early spring; do not harvest first year; full harvest from year 3.,"Cool,Wet","3,4,5,6,7,8",56-84,Crowns in early spring; seedlings 10–12 wks indoor,"[3, 4, 5, 6, 7, 8]","{""3"": [27, 28, 29, 30, 31, 32, 33, 34], ""4"": [25, 26, 27, 28, 29, 30, 31, 32], ""5"": [24, 25, 26, 27, 28, 29, 30, 31], ""6"": [22, 23, 24, 25, 26, 27, 28, 29], ""7"": [20, 21, 22, 23, 24, 25, 26, 27], ""8"": [18, 19, 20, 21, 22, 23, 24, 25]}","{""3"": [19, 20, 21, 22], ""4"": [17, 18, 19, 20], ""5"": [16, 17, 18, 19], ""6"": [14, 15, 16, 17], ""7"": [12, 13, 14, 15], ""8"": [10, 11, 12, 13]}",Start seedlings in plugs 10–12 weeks before last frost if growing from seed; transplant after frost.,Deep sandy loam; pH 6.5–7.5; high organic matter; good drainage.,"Asparagus beetle, cutworms.",Heavy compost annually; balanced organic fertilizer in spring.,Drain Water,
Guelph Eclipse (Asparagus),Asparagaceae,Asparagus,Guelph Eclipse,Perennial spear crop from crowns; spring harvest.,Plant crowns in early spring; do not harvest first year; full harvest from year 3.,"Cool,Wet","3,4,5,6,7,8",56-84,Crowns in early spring; seedlings 10–12 wks indoor,"[3, 4, 5, 6, 7, 8]","{""3"": [27, 28, 29, 30, 31, 32, 33, 34], ""4"": [25, 26, 27, 28, 29, 30, 31, 32], ""5"": [24, 25, 26, 27, 28, 29, 30, 31], ""6"": [22, 23, 24, 25, 26, 27, 28, 29], ""7"": [20, 21, 22, 23, 24, 25, 26, 27], ""8"": [18, 19, 20, 21, 22, 23, 24, 25]}","{""3"": [19, 20, 21, 22], ""4"": [17, 18, 19, 20], ""5"": [16, 17, 18, 19], ""6"": [14, 15, 16, 17], ""7"": [12, 13, 14, 15], ""8"": [10, 11, 12, 13]}",Start seedlings in plugs 10–12 weeks before last frost if growing from seed; transplant after frost.,Deep sandy loam; pH 6.5–7.5; high organic matter; good drainage.,"Asparagus beetle, cutworms.",Heavy compost annually; balanced organic fertilizer in spring.,Drain Water,
Guelph Equinox (Asparagus),Asparagaceae,Asparagus,Guelph Equinox,Perennial spear crop from crowns; spring harvest.,Plant crowns in early spring; do not harvest first year; full harvest from year 3.,"Cool,Wet","3,4,5,6,7,8",56-84,Crowns in early spring; seedlings 10–12 wks indoor,"[3, 4, 5, 6, 7, 8]","{""3"": [27, 28, 29, 30, 31, 32, 33, 34], ""4"": [25, 26, 27, 28, 29, 30, 31, 32], ""5"": [24, 25, 26, 27, 28, 29, 30, 31], ""6"": [22, 23, 24, 25, 26, 27, 28, 29], ""7"": [20, 21, 22, 23, 24, 25, 26, 27], ""8"": [18, 19, 20, 21, 22, 23, 24, 25]}","{""3"": [19, 20, 21, 22], ""4"": [17, 18, 19, 20], ""5"": [16, 17, 18, 19], ""6"": [14, 15, 16, 17], ""7"": [12, 13, 14, 15], ""8"": [10, 11, 12, 13]}",Start seedlings in plugs 10–12 weeks before last frost if growing from seed; transplant after frost.,Deep sandy loam; pH 6.5–7.5; high organic matter; good drainage.,"Asparagus beetle, cutworms.",Heavy compost annually; balanced organic fertilizer in spring.,Drain Water,
