"Symbol","Scientific Name with Author","GSAT Common Name"
"CHNE4","Chenopodium nevadense Standl.","Nevada goosefoot"
"CHOC","Chamaesyce ocellata (Durand & Hilg.) Millsp.","valley spurge"
"CHOCA","Chamaesyce ocellata (Durand & Hilg.) Millsp. ssp. arenicola (Parish) Thorne","Contura Creek sandmat"
"CHORI","Chorispora R. Br. ex DC.","chorispora"
"CHORI2","Chorizanthe R. Br. ex Benth.","Chorizanthe"
"CHOV","Chenopodium overi Aellen","Over's goosefoot"
"CHPA28","Chamaesyce parryi (Engelm.) Rydb.","Parry's spurge"
"CHPA30","Chamaesyce parishii (Greene) Millsp. ex Parish","Parish's spurge"
"CHPA4","Cheilanthes parryi (D.C. Eaton) Domin","Parry's lipfern"
"CHPA4","Cheilanthes parryi (D.C. Eaton) Domin","Parry's cloakfern"
"CHPO12","Chamaesyce polycarpa (Benth.) Millsp. ex Parish","manyfruit spurge"
"CHPO12","Chamaesyce polycarpa (Benth.) Millsp. ex Parish","smallseed sandmat"
"CHPR5","Chenopodium pratericola Rydb.","DESERT GOOSEFOOT"
"CHPR5","Chenopodium pratericola Rydb.","PALE GOOSEFOOT"
"CHRE4","Chamaesyce revoluta (Engelm.) Small","threadstem spurge"
"CHRI","Chorizanthe rigida (Torr.) Torr. & A. Gray","spiny chorizanthe"
"CHRU","Chenopodium rubrum L.","RED GOOSEFOOT"
"CHRYS15","Chrysolepis Hjelmquist","chinkapin"
"CHRYS9","Chrysothamnus Nutt.","rabbitbrush"
"CHSA2","Chenopodium salinum Standl.","Rocky Mountain goosefoot"
"CHSE11","Chrysolepis sempervirens (Kellogg) Hjelmqvist","Sierra chinkapin"
"CHSE6","Chamaesyce serpyllifolia (Pers.) Small","thymeleaf sandmat"
"CHSE8","Chamaesyce setiloba (Engelm. ex Torr.) J.B.S. Norton","Yuma spurge"
"CHSES","Chamaesyce serpyllifolia (Pers.) Small ssp. serpyllifolia","THYMELEAF SPURGE"
"CHSI2","Chenopodium simplex (Torr.) Raf.","MAPLELEAF GOOSEFOOT"
"CHSP11","Chloracantha spinosa (Benth.) G.L. Nesom","Mexican devilweed"
"CHST","Chaenactis stevioides Hook. & Arn.","Steve's pincushion"
"CHSU2","Chenopodium subglabrum (S. Watson) A. Nelson","smooth goosefoot"
"CHTE2","Chorispora tenella (Pall.) DC.","common bluemustard"
"CHUM","Chimaphila umbellata (L.) W.P.C. Barton","pipsissewa"
"CHUMO2","Chimaphila umbellata (L.) W.P.C. Barton ssp. occidentalis (Rydb.) Hultén","pipsissewa"
"CHVA2","Chrysothamnus vaseyi (A. Gray) Greene","Vasey's rabbittbrush"
"CHVE2","Chloris verticillata Nutt.","tumble windmillgrass"
"CHVI4","Chloris virgata Sw.","feather fingergrass"
"CHVI8","Chrysothamnus viscidiflorus (Hook.) Nutt.","Douglas' rabbitbrush"
"CHVIA4","Chrysothamnus viscidiflorus (Hook.) Nutt. ssp. axillaris (D.D. Keck) L.C. Anderson","Douglas' rabbitbrush"
"CHVIL4","Chrysothamnus viscidiflorus (Hook.) Nutt. ssp. lanceolatus (Nutt.) H.M. Hall & Clem.","lanceleaf rabbitbrush"
"CHVIP4","Chrysothamnus viscidiflorus (Hook.) Nutt. ssp. puberulus (D.C. Eaton) H.M. Hall & Clem.","downy rabbitbrush"
"CHVIS5","Chrysothamnus viscidiflorus (Hook.) Nutt. ssp. viscidiflorus var. stenophyllus (A. Gray) H.M. Hall","small rabbitbrush"
"CHVIV2","Chrysothamnus viscidiflorus (Hook.) Nutt. ssp. viscidiflorus","Douglas' rabbitbrush"
"CHVIV4","Chrysothamnus viscidiflorus (Hook.) Nutt. ssp. viscidiflorus var. viscidiflorus","Douglas' rabbitbrush"
"CHWA2","Chorizanthe watsonii Torr. & A. Gray","Watson's chorizanthe"
"CHWH","Chaetadelpha wheeleri A. Gray ex S. Watson","Wheeler's chaetadelpha"
"CHWO","Cheilanthes wootonii Maxon","beaded lipfern"
"CHXA","Chaenactis xantiana A. Gray","Xantus pincushion"
"CIAL","Circaea alpina L.","small enchanter's nightshade"
"CIALP2","Circaea alpina L. ssp. pacifica (Asch. & Magnus) P.H. Raven","small enchanter's nightshade"
"CIAN","Cirsium andersonii (A. Gray) Petr.","Anderson's thistle"
"CIAR3","Cirsium arizonicum (A. Gray) Petr.","Arizona thistle"
"CIAR3","Cirsium arizonicum (A. Gray) Petr.","Arizona thistle"
"CIAR4","Cirsium arvense (L.) Scop.","CANADA THISTLE"
"CICA6","Cirsium canovirens (Rydb.) Petr.","graygreen thistle"
"CICHO","Cichorium L.","CHICORY"
"CICL2","Cirsium clokeyi S.F. Blake","Charleston Mountain thistle"
"CICUT","Cicuta L.","water hemlock"
"CIDO","Cicuta douglasii (DC.) J.M. Coult. & Rose","Douglas' waterhemlock"
"CIDO2","Cirsium douglasii DC.","Douglas' thistle"
"CIEA","Cirsium eatonii (A. Gray) B.L. Rob.","Eaton's thistle"
"CIHO2","Cirsium horridulum Michx.","yellow thistle"
"CIIN","Cichorium intybus L.","CHICORY"
"CILA2","Cinna latifolia (Trevis. ex Goepp.) Griseb.","drooping woodreed"
"CILA3","Citrullus lanatus (Thunb.) Matsum. & Nakai","watermelon"
"CILAC","Citrullus lanatus (Thunb.) Matsum. & Nakai var. citroides (L.H. Bailey) Mansf.","watermelon"
"CIMA2","Cicuta maculata L.","spotted waterhemlock"
"CIMAA","Cicuta maculata L. var. angustifolia Hook.","spotted water hemlock"
"CIMO","Cirsium mohavense (Greene) Petr.","Mojave thistle"
"CIMO4","Cistanthe monandra (Nutt.) Hershkovitz","sandcress"
"CIMO5","Cistanthe monosperma (Greene) Hershkovitz","oneseed pussypaws"
"CINE","Cirsium neomexicanum A. Gray","Utah thistle"
"CINE","Cirsium neomexicanum A. Gray","lavender thistle"
"CINE","Cirsium neomexicanum A. Gray","New Mexico thistle"
"CINNA","Cinna L.","woodreed"
"CIOCC","Cirsium occidentale (Nutt.) Jeps. var. candidissimum (Greene) J.F. Macbr.","snowy thistle"
"CIPA7","Cistanthe parryi (A. Gray) Hershkovitz","Parry's pussypaws"
"CIPAN","Cistanthe parryi (A. Gray) Hershkovitz var. nevadensis (J.T. Howell) Kartesz & Gandhi","Nevada pussypaws"
"CIPAP","Cistanthe parryi (A. Gray) Hershkovitz var. parryi","Parry's pussypaws"
"CIRCA","Circaea L.","enchanter's nightshade"
"CIRO2","Cistanthe rosea (S. Watson) Hershkovitz","rosey pussypaws"
"CIRSI","Cirsium Mill.","thistle"
"CISC2","Cirsium scariosum Nutt.","Tioga thistle"
"CISC2","Cirsium scariosum Nutt.","Colorado thistle"
"CISC2","Cirsium scariosum Nutt.","stemless thistle"
"CISC2","Cirsium scariosum Nutt.","crow thistle"
"CISC2","Cirsium scariosum Nutt.","Colorado thistle"
"CISTA","Cistanthe Spach","pussypaws"
"CISU","Cirsium subniveum Rydb.","Jackson Hole thistle"
"CITRU","Citrullus Schrad.","citrullus"
"CIUM","Cistanthe umbellata (Torr.) Hershkovitz","Mt. Hood pussypaws"
"CIUMC","Cistanthe umbellata (Torr.) Hershkovitz var. caudicifera (A. Gray) Kartesz & Gandhi","cistanthe"
"CIUMU","Cistanthe umbellata (Torr.) Hershkovitz var. umbellata","pussypaws"
"CIUMU","Cistanthe umbellata (Torr.) Hershkovitz var. umbellata","oneseed pussypaws"
"CIUN","Cirsium undulatum (Nutt.) Spreng.","WAVYLEAF THISTLE"
"CIUNU","Cirsium undulatum (Nutt.) Spreng. var. undulatum","WAVYLEAF THISTLE"
"CIVI6","Cirsium virginense S.L. Welsh","Virgin thistle"
"CIVU","Cirsium vulgare (Savi) Ten.","BULL THISTLE"
"CIWH","Cirsium wheeleri (A. Gray) Petr.","Wheeler thistle"
"CLADI","Cladium P. Br.","sawgrass"
"CLARK","Clarkia Pursh","clarkia"
"CLAYT","Claytonia L.","springbeauty"
"CLBR2","Cleomella brevipes S. Watson","shortstalk cleomella"
"CLCA2","Cladium californicum (S. Watson) O'Neill","California sawgrass"
"CLEMA","Clematis L.","Clematis"
"CLEOM","Cleome L.","beeplant"
"CLEOM2","Cleomella DC.","cleomella"
"CLHI","Clematis hirsutissima Pursh","Douglas' clematis"
"CLHI2","Cleomella hillmanii A. Nelson","Hillman's cleomella"
"CLINT","Clintonia Raf.","beadlily"
"CLLA","Clarkia lassenensis (Eastw.) F.H. Lewis & M.E. Lewis","Lassen clarkia"
"CLLA2","Claytonia lanceolata Pall. ex Pursh","lanceleaf springbeauty"
"CLLAL","Claytonia lanceolata Pall. ex Pursh var. lanceolata","lanceleaf springbeauty"
"CLLI2","Clematis ligusticifolia Nutt.","virgin'sbower"
"CLLIL2","Clematis ligusticifolia Nutt. var. ligusticifolia","western white clematis"
"CLLU2","Cleome lutea Hook.","yellow beeplant"
"CLLUL","Cleome lutea Hook. var. lutea","yellow spiderflower"
"CLME","Claytonia megarhiza (A. Gray) Parry ex S. Watson","alpine springbeauty"
"CLMEB","Claytonia megarhiza (A. Gray) Parry ex S. Watson var. bellidifolia (Rydb.) C.L. Hitchc.","alpine springbeauty"
"CLOB","Cleomella obtusifolia Torr. & Frém.","Mojave cleomella"
"CLPA4","Cleomella parviflora A. Gray","smallflower cleomella"
"CLPA5","Claytonia parviflora Douglas ex Hook.","littleleaf springbeauty"
"CLPE","Claytonia perfoliata Donn ex Willd.","miner's lettuce"
"CLPEP","Claytonia perfoliata Donn ex Willd. ssp. perfoliata","miner's lettuce"
"CLPL","Cleome platycarpa Torr.","broadpod cleome"
"CLPL2","Cleomella plocasperma S. Watson","alkali cleomella"
"CLRH","Clarkia rhomboidea Douglas ex Hook.","broadleaf clarkia"
"CLRU2","Claytonia rubra (Howell) Tidestr.","redstem springbeauty"
"CLSE","Cleome serrulata Pursh","ROCKY MOUNTAIN BEEPLANT"
"CLSP2","Cleome sparsifolia S. Watson","fewleaf cleome"
"CLUM","Claytonia umbellata S. Watson","Great Basin springbeauty"
"CLUN2","Clintonia uniflora (Menzies ex Schult. & Schult. f.) Kunth","bride'sbonnet"
"CNBE","Cnicus benedictus L.","blessed thistle"
"COAL2","Cornus alternifolia L. f.","alternateleaf dogwood"
"COAM2","Cornus amomum Mill.","SILKY DOGWOOD"
"COAM3","Corylus americana Walter","American hazel"
"COAMR","Corispermum americanum (Nutt.) Nutt. var. rydbergii Mosyakin","common bugseed"
"COAMR","Corispermum americanum (Nutt.) Nutt. var. rydbergii Mosyakin","tickseed"
"COAR4","Convolvulus arvensis L.","FIELD BINDWEED"
"COAR6","Colutea arborescens L.","bladdersenna"
"COAU2","Corydalis aurea Willd.","GOLDEN CORYDALIS"
"COBO","Conyza bonariensis (L.) Cronquist","asthmaweed"
"COCA18","Colubrina californica I.M. Johnst.","California colubrina"
"COCA3","Collinsia callosa Parish","largefruit blue-eyed Mary"
"COCA5","Conyza canadensis (L.) Cronquist","Canada horseweed"
"COCA7","Cordylanthus capitatus Nutt. ex Benth.","cluster bird'sbeak"
"COCAC3","Conyza canadensis (L.) Cronquist var. canadensis","Canadian horseweed"
"COCAG","Conyza canadensis (L.) Cronquist var. glabrata (A. Gray) Cronquist","Canadian horseweed"
"COCO7","Cotula coronopifolia L.","brassbuttons"
"COCUO","Corydalis curvisiliqua Engelm. ssp. occidentalis (Engelm. ex A. Gray) W.A. Weber","scrambledeggs"
"CODE","Collomia debilis (S. Watson) Greene","alpine collomia"
"CODET","Collomia debilis (S. Watson) Greene var. trifida Payson","alpine collomia"
"COGR4","Collomia grandiflora Douglas ex Lindl.","largeflowered collomia"
"COHO","Condalia hookeri M.C. Johnst.","lotebush"
"COKI","Cordylanthus kingii S. Watson","King's bird'sbeak"
"COKIH","Cordylanthus kingii S. Watson ssp. helleri (Ferris) T.I. Chuang & Heckard","Heller's bird's beak"
"COKIK","Cordylanthus kingii S. Watson ssp. kingii","King's bird'sbeak"
"COLEO","Coleogyne Torr.","Coleogyne"
"COLI2","Collomia linearis Nutt.","slenderleaf collomia"
"COLLI","Collinsia Nutt.","BLUE-EYED MARY"
"COLLO","Collomia Nutt.","collomia"
"COLUB","Colubrina Rich. ex Brongn.","colubrina"
"COLUT","Colutea L.","colutea"
"COMA2","Conium maculatum L.","Poison hemlock"
"COMA25","Corallorhiza maculata (Raf.) Raf.","spotted coralroot"
"COMA5","Cordylanthus maritimus Nutt. ex Benth.","saltmarsh bird'sbeak"
"COMAC","Cordylanthus maritimus Nutt. ex Benth. ssp. canescens (A. Gray) T.I. Chuang & Heckard","saltmarsh bird'sbeak"
"COMAN","Comandra Nutt.","Comandra"
"COMME","Commelina L.","dayflower"
"CONDA","Condalia Cav.","Condalia"
"CONIU","Conium L.","Poison hemlock"
"CONRI","Conringia Heist. ex Fabr.","conringia"
"CONU4","Cornus nuttallii Audubon ex Torr. & A. Gray","Pacific dogwood"
"CONVO","Convolvulus L.","bindweed"
"CONYZ","Conyza Less.","horseweed"
"COOR","Conringia orientalis (L.) Dumort.","hare's ear mustard"
"COPA3","Collinsia parviflora Lindl.","BLUE-EYED MARY"
"COPA9","Cordylanthus parviflorus (Ferris) Wiggins","purple bird'sbeak"
"CORA","Coleogyne ramosissima Torr.","blackbrush"
"CORA5","Cordylanthus ramosus Nutt. ex Benth.","muchbranched bird'sbeak"
"CORAL5","Corallorhiza Gagnebin, orth. cons.","coralroot"
"CORDY","Cordylanthus Nutt. ex Benth.","bird'sbeak"
"CORE10","Collomia renacta E. Joyal","Barren Valley collomia"
"CORIA","Coriandrum L.","coriandrum"
"CORIS","Corispermum L.","bugseed"
"CORNU","Cornus L.","dogwood"
"CORON","Coronilla L.","crownvetch"
"CORYD","Corydalis DC.","Corydalis"
"CORYP","Coryphantha (Engelm.) Lem.","corypantha cactus"
"COSA","Coriandrum sativum L.","coriander"
"COSE16","Cornus sericea L.","redosier dogwood"
"COSE4","Cortaderia selloana (Schult. & Schult. f.) Asch. & Graebn.","Uruguayan pampasgrass"
"COSEO","Cornus sericea L. ssp. occidentalis (Torr. & A. Gray) Fosberg","western dogwood"
"COSES","Cornus sericea L. ssp. sericea","redosier dogwood"
"COSP3","Condalia spathulata A. Gray","knifeleaf condalia"
"COST19","Corallorhiza striata Lindl.","striped coralroot"
"COSTS3","Corallorhiza striata Lindl. var. striata","Hooded coralroot"
"COTE","Collomia tenella A. Gray","diffuse collomia"
"COTE2","Cordylanthus tecopensis Munz & Roos","Tecopa bird'sbeak"
"COTE3","Cordylanthus tenuis A. Gray","slender bird'sbeak"
"COTET2","Cordylanthus tenuis A. Gray ssp. tenuis","slender bird'sbeak"
"COTI2","Collomia tinctoria Kellogg","yellowstain collomia"
"COTO","Collinsia torreyi A. Gray","Torrey's blue-eyed Mary"
"COTON","Cotoneaster Medik.","cotoneaster"
"COTOT","Collinsia torreyi A. Gray var. torreyi","Torrey's blue-eyed Mary"
"COTOW","Collinsia torreyi A. Gray var. wrightii (S. Watson) I.M. Johnst.","Wright's blue eyed Mary"
"COTR18","Corallorhiza trifida Chatelain","yellow coralroot"
"COTUL","Cotula L.","waterbuttons"
"COUM","Comandra umbellata (L.) Nutt.","BASTARD TOADFLAX"
"COUMC","Comandra umbellata (L.) Nutt. ssp. californica (Eastw. ex Rydb.) Piehl","California bastard toadflax"
"COUMP","Comandra umbellata (L.) Nutt. ssp. pallida (A. DC.) Piehl","BASTARD TOADFLAX"
"CRAB2","Cryptantha abata I.M. Johnst.","abata cryptantha"
"CRAC2","Crepis acuminata Nutt.","tapertip hawksbeard"
"CRAC3","Cryptogramma acrostichoides R. Br.","American rockbrake"
"CRACA","Crepis acuminata Nutt. ssp. acuminata","longleaf hawksbeard"
"CRAF","Cryptantha affinis (A. Gray) Greene","quill cryptantha"
"CRAL2","Crypsis alopecuroides (Piller & Mitterp.) Schrad.","foxtail timothy"
"CRAM3","Cryptantha ambigua (A. Gray) Greene","Wickes cryptantha"
"CRAN4","Cryptantha angustifolia (Torr.) Greene","bristlelobe cryptantha"
"CRAQ","Crassula aquatica (L.) Schoenl.","water pygmyweed"
"CRASS","Crassula L.","Crassula"
"CRAT","Crepis atribarba A. Heller","slender hawksbeard"
"CRATA","Crataegus L.","hawthorn"
"CRATA2","Crepis atribarba A. Heller ssp. atribarba","slender hawksbeard"
"CRATO","Crepis atribarba A. Heller ssp. originalis (Babc. & Stebbins) Babc. & Stebbins","slender hawksbeard"
"CRBA2","Crepis bakeri Greene","Baker's hawksbeard"
"CRBA5","Cryptantha barbigera (A. Gray) Greene","bearded cryptantha"
"CRBAB","Crepis bakeri Greene ssp. bakeri","Baker's hawksbeard"
"CRBI2","Crossosoma bigelovii S. Watson","Bigelow's crossosoma"
"CRBIB","Crossosoma bigelovii S. Watson var. bigelovii","ragged rockflower"
"CRCA3","Crepis capillaris (L.) Wallr.","smooth hawksbeard"
"CRCA5","Croton californicus Müll. Arg.","California croton"
"CRCAC","Croton californicus Müll. Arg. var. californicus","Mojave croton"
"CRCE","Cryptantha celosioides (Eastw.) Payson","buttecandle"
"CRCI2","Cryptantha circumscissa (Hook. & Arn.) I.M. Johnst.","matted cryptantha"
"CRCI3","Cryptantha cinerea (Greene) Cronquist","bownut cryptantha"
"CRCIA","Cryptantha cinerea (Greene) Cronquist var. abortiva","James' catseye"
"CRCIC","Cryptantha cinerea (Greene) Cronquist var. cinerea","James' catseye"
"CRCIC2","Cryptantha circumscissa (Hook. & Arn.) I.M. Johnst. var. circumscissa","cushion cryptantha"
"CRCIH","Cryptantha circumscissa (Hook. & Arn.) I.M. Johnst. var. hispida (J.F. Macbr.) I.M. Johnst.","cushion catseye"
"CRCO12","Cryptantha confertiflora (Greene) Payson","roundleaf cryptantha"
"CRDE","Cryptantha decipiens (M.E. Jones) A. Heller","gravel cryptantha"
"CRDU","Cryptantha dumetorum (Greene ex A. Gray) Greene","bushloving cryptantha"
"CREC","Cryptantha echinella Greene","hedgehog cryptantha"
"CREPI","Crepis L.","HAWKSBEARD"
"CRESS","Cressa L.","ALKALIWEED"
"CRFE3","Cryptantha fendleri (A. Gray) Greene","sanddune cryptantha"
"CRFL","Crataegus flabellata (Bosc ex Spach) K. Koch","fanleaf hawthorne"
"CRFL6","Cryptantha flavoculata (A. Nelson) Payson","roughseed catseye"
"CRFU","Cryptantha fulvocanescens (S. Watson) Payson","tawny cryptantha"
"CRGR3","Cryptantha gracilis Osterh.","narrowstem cryptantha"
"CRHO2","Cryptantha hoffmannii I.M. Johnst.","Hoffmann's cryptantha"
"CRHO3","Cryptantha holoptera (A. Gray) J.F. Macbr.","Panamint cryptantha"
"CRHO3","Cryptantha holoptera (A. Gray) J.F. Macbr.","winged cryptantha"
"CRHU2","Cryptantha humilis (A. Gray) Payson","roundspike cryptantha"
"CRHU2","Cryptantha humilis (A. Gray) Payson","alpine cryptantha"
"CRIN15","Cryptantha insolita (J.F. Macbr.) Payson","Las Vegas cryptantha"
"CRIN4","Crepis intermedia A. Gray","gray hawksbeard"
"CRIN8","Cryptantha intermedia (A. Gray) Greene","common cryptantha"
"CRIN9","Cryptantha interrupta (Greene) Payson","Elko cryptantha"
"CRMA7","Cryptantha maritima (Greene) Greene","Guadalupe cryptantha"
"CRMAM","Cryptantha maritima (Greene) Greene var. maritima","Guadalupe catseye"
"CRMAP","Cryptantha maritima (Greene) Greene var. pilosa I.M. Johnst.","Guadalupe catseye"
"CRMI","Cryptantha micrantha (Torr.) I.M. Johnst.","redroot cryptantha"
"CRMI7","Cryptantha mirabunda Brand","wonderful catseye"
"CRMIM","Cryptantha micrantha (Torr.) I.M. Johnst. var. micrantha","redroot cryptantha"
"CRMO4","Crepis modocensis Greene","Modoc hawksbeard"
"CRMOM","Crepis modocensis Greene ssp. modocensis","Modoc hawksbeard"
"CRMOS","Crepis modocensis Greene ssp. subacaulis (Kellogg) Babc. & Stebbins","Siskiyou hawksbeard"
"CRMU2","Cryptantha muricata (Hook. & Arn.) A. Nelson & J.F. Macbr.","prickly cryptantha"
"CRMU2","Cryptantha muricata (Hook. & Arn.) A. Nelson & J.F. Macbr.","Jones's catseye"
"CRMU2","Cryptantha muricata (Hook. & Arn.) A. Nelson & J.F. Macbr.","pointed catseye"
"CRNA","Crepis nana Richardson","tiny hawksbeard"
"CRNAN","Crepis nana Richardson ssp. nana","dwarf alpine hawksbeard"
"CRNE2","Cryptantha nevadensis A. Nelson & Kennedy","Nevada cryptantha"
"CRNEN","Cryptantha nevadensis A. Nelson & Kennedy var. nevadensis","Nevada catseye"
"CRNER","Cryptantha nevadensis A. Nelson & Kennedy var. rigida I.M. Johnst.","Nevada catseye"
"CROC","Crepis occidentalis Nutt.","western hawksbeard"
"CROCC2","Crepis occidentalis Nutt. ssp. costata (A. Gray) Babc. & Stebbins","largeflower hawksbeard"
"CROCO2","Crepis occidentalis Nutt. ssp. occidentalis","largeflower hawksbeard"
"CROCP","Crepis occidentalis Nutt. ssp. pumila (Rydb.) Babc. & Stebbins","largeflower hawksbeard"
"CROSS2","Crossosoma Nutt.","rockflower"
"CROTO","Croton L.","Croton"
"CROX","Cryptantha oxygona (A. Gray) Greene","sharpseed cryptantha"
"CRPL","Crepis pleurocarpa A. Gray","nakedstem hawksbeard"
"CRPT","Cryptantha pterocarya (Torr.) Greene","wingnut cryptantha"
"CRPTC","Cryptantha pterocarya (Torr.) Greene var. cycloptera (Greene) J.F. Macbr.","wingnut catseye"
"CRPTP2","Cryptantha pterocarya (Torr.) Greene var. pterocarya","wingnut catseye"
"CRPTS","Cryptantha pterocarya (Torr.) Greene var. stenoloba I.M. Johnst.","wingnut catseye"
"CRRA2","Cryptantha racemosa (S. Watson) Greene","brushy cryptantha"
"CRRE5","Cryptantha recurvata Coville","curvednut cryptantha"
"CRRI","Crataegus rivularis Nutt.","river hawthorne"
"CRRU3","Crepis runcinata (James) Torr. & A. Gray","DANDELION HAWKSBEARD"
"CRRU4","Cryptantha rugulosa (Payson) Payson","wrinkled cryptantha"
"CRRUA","Crepis runcinata (James) Torr. & A. Gray ssp. andersonii (A. Gray) Babc. & Stebbins","Anderson's hawksbeard"
"CRRUG","Crepis runcinata (James) Torr. & A. Gray ssp. glauca (Nutt.) Babc. & Stebbins","fiddleleaf hawksbeard"
"CRRUH","Crepis runcinata (James) Torr. & A. Gray ssp. hallii Babc. & Stebbins","Hall's hawksbeard"
"CRRUI","Crepis runcinata (James) Torr. & A. Gray ssp. imbricata Babc. & Stebbins","fiddleleaf hawksbeard"
"CRRUR","Crepis runcinata (James) Torr. & A. Gray ssp. runcinata","DANDELION HAWKSBEARD"
"CRSA7","Crassula saginoides (Maxim.) Bywater & Wickens","wrinkleseed pygmyweed"
"CRSC","Crypsis schoenoides (L.) Lam.","swamp timothy"
"CRSC2","Cryptantha scoparia A. Nelson","desert cryptantha"
"CRSE11","Croton setigerus Hook.","doveweed"
"CRSE5","Cryptantha setosissima (A. Gray) Payson","bristly cryptantha"
"CRSI2","Cryptantha simulans Greene","pine cryptantha"
"CRSO3","Cryptantha sobolifera Payson","Schoolcraft's cryptantha"
"CRSO3","Cryptantha sobolifera Payson","Crater Lake cryptantha"
"CRSO3","Cryptantha sobolifera Payson","Waterton Lakes cryptantha"
